userId	geneSymbol	geneName	entrezgene	gLink
Ndrg2	Ndrg2	N-myc downstream regulated gene 2	29811	https://www.ncbi.nlm.nih.gov/gene/?term=29811
Mapk8ip1	Mapk8ip1	mitogen-activated protein kinase 8 interacting protein 1	19099	https://www.ncbi.nlm.nih.gov/gene/?term=19099
Bcan	Bcan	brevican	12032	https://www.ncbi.nlm.nih.gov/gene/?term=12032
Prkar1b	Prkar1b	protein kinase, cAMP dependent regulatory, type I beta	19085	https://www.ncbi.nlm.nih.gov/gene/?term=19085
Chn1	Chn1	chimerin 1	108699	https://www.ncbi.nlm.nih.gov/gene/?term=108699
Rapgef2	Rapgef2	Rap guanine nucleotide exchange factor (GEF) 2	76089	https://www.ncbi.nlm.nih.gov/gene/?term=76089
Pcdh17	Pcdh17	protocadherin 17	219228	https://www.ncbi.nlm.nih.gov/gene/?term=219228
Atp2b2	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2	11941	https://www.ncbi.nlm.nih.gov/gene/?term=11941
Rftn2	Rftn2	raftlin family member 2	74013	https://www.ncbi.nlm.nih.gov/gene/?term=74013
Rnf14	Rnf14	ring finger protein 14	56736	https://www.ncbi.nlm.nih.gov/gene/?term=56736
Epha4	Epha4	Eph receptor A4	13838	https://www.ncbi.nlm.nih.gov/gene/?term=13838
Nap1l3	Nap1l3	nucleosome assembly protein 1-like 3	54561	https://www.ncbi.nlm.nih.gov/gene/?term=54561
Vamp2	Vamp2	vesicle-associated membrane protein 2	22318	https://www.ncbi.nlm.nih.gov/gene/?term=22318
Hs6st2	Hs6st2	heparan sulfate 6-O-sulfotransferase 2	50786	https://www.ncbi.nlm.nih.gov/gene/?term=50786
Slc25a12	Slc25a12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	78830	https://www.ncbi.nlm.nih.gov/gene/?term=78830
Ermn	Ermn	ermin, ERM-like protein	77767	https://www.ncbi.nlm.nih.gov/gene/?term=77767
Rps6ka2	Rps6ka2	NA	20112	https://www.ncbi.nlm.nih.gov/gene/?term=20112
Arhgef26	Arhgef26	Rho guanine nucleotide exchange factor (GEF) 26	622434	https://www.ncbi.nlm.nih.gov/gene/?term=622434
Car2	Car2	carbonic anhydrase 2	12349	https://www.ncbi.nlm.nih.gov/gene/?term=12349
Ckmt1	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous	12716	https://www.ncbi.nlm.nih.gov/gene/?term=12716
Sema6b	Sema6b	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B	20359	https://www.ncbi.nlm.nih.gov/gene/?term=20359
Gnai1	Gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting 1	14677	https://www.ncbi.nlm.nih.gov/gene/?term=14677
Crmp1	Crmp1	collapsin response mediator protein 1	12933	https://www.ncbi.nlm.nih.gov/gene/?term=12933
Ywhag	Ywhag	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	22628	https://www.ncbi.nlm.nih.gov/gene/?term=22628
Cacna2d3	Cacna2d3	calcium channel, voltage-dependent, alpha2/delta subunit 3	12294	https://www.ncbi.nlm.nih.gov/gene/?term=12294
Spock3	Spock3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3	72902	https://www.ncbi.nlm.nih.gov/gene/?term=72902
Rcan2	Rcan2	regulator of calcineurin 2	53901	https://www.ncbi.nlm.nih.gov/gene/?term=53901
Rgs4	Rgs4	regulator of G-protein signaling 4	19736	https://www.ncbi.nlm.nih.gov/gene/?term=19736
Map2	Map2	microtubule-associated protein 2	17756	https://www.ncbi.nlm.nih.gov/gene/?term=17756
Kcnab1	Kcnab1	potassium voltage-gated channel, shaker-related subfamily, beta member 1	16497	https://www.ncbi.nlm.nih.gov/gene/?term=16497
Psd3	Psd3	pleckstrin and Sec7 domain containing 3	234353	https://www.ncbi.nlm.nih.gov/gene/?term=234353
Gabra4	Gabra4	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4	14397	https://www.ncbi.nlm.nih.gov/gene/?term=14397
Trim2	Trim2	tripartite motif-containing 2	80890	https://www.ncbi.nlm.nih.gov/gene/?term=80890
Mllt11	Mllt11	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11	56772	https://www.ncbi.nlm.nih.gov/gene/?term=56772
Klf9	Klf9	Kruppel-like factor 9	16601	https://www.ncbi.nlm.nih.gov/gene/?term=16601
Lancl1	Lancl1	LanC (bacterial lantibiotic synthetase component C)-like 1	14768	https://www.ncbi.nlm.nih.gov/gene/?term=14768
Inpp5f	Inpp5f	inositol polyphosphate-5-phosphatase F	101490	https://www.ncbi.nlm.nih.gov/gene/?term=101490
Apod	Apod	apolipoprotein D	11815	https://www.ncbi.nlm.nih.gov/gene/?term=11815
Sv2a	Sv2a	synaptic vesicle glycoprotein 2 a	64051	https://www.ncbi.nlm.nih.gov/gene/?term=64051
Hdac11	Hdac11	histone deacetylase 11	232232	https://www.ncbi.nlm.nih.gov/gene/?term=232232
Pgam1	Pgam1	phosphoglycerate mutase 1	18648	https://www.ncbi.nlm.nih.gov/gene/?term=18648
Camkk1	Camkk1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	55984	https://www.ncbi.nlm.nih.gov/gene/?term=55984
Dlg4	Dlg4	discs large MAGUK scaffold protein 4	13385	https://www.ncbi.nlm.nih.gov/gene/?term=13385
Ass1	Ass1	argininosuccinate synthetase 1	11898	https://www.ncbi.nlm.nih.gov/gene/?term=11898
Prkcg	Prkcg	protein kinase C, gamma	18752	https://www.ncbi.nlm.nih.gov/gene/?term=18752
Chst2	Chst2	carbohydrate sulfotransferase 2	54371	https://www.ncbi.nlm.nih.gov/gene/?term=54371
Snap25	Snap25	synaptosomal-associated protein 25	20614	https://www.ncbi.nlm.nih.gov/gene/?term=20614
Ndrg3	Ndrg3	N-myc downstream regulated gene 3	29812	https://www.ncbi.nlm.nih.gov/gene/?term=29812
Gnb5	Gnb5	guanine nucleotide binding protein (G protein), beta 5	14697	https://www.ncbi.nlm.nih.gov/gene/?term=14697
Aco2	Aco2	aconitase 2, mitochondrial	11429	https://www.ncbi.nlm.nih.gov/gene/?term=11429
Zwint	Zwint	ZW10 interactor	52696	https://www.ncbi.nlm.nih.gov/gene/?term=52696
Gad1	Gad1	glutamate decarboxylase 1	14415	https://www.ncbi.nlm.nih.gov/gene/?term=14415
Spryd3	Spryd3	SPRY domain containing 3	223918	https://www.ncbi.nlm.nih.gov/gene/?term=223918
Calb1	Calb1	calbindin 1	12307	https://www.ncbi.nlm.nih.gov/gene/?term=12307
Hspa12a	Hspa12a	heat shock protein 12A	73442	https://www.ncbi.nlm.nih.gov/gene/?term=73442
Gabbr1	Gabbr1	gamma-aminobutyric acid (GABA) B receptor, 1	54393	https://www.ncbi.nlm.nih.gov/gene/?term=54393
Pcsk2	Pcsk2	proprotein convertase subtilisin/kexin type 2	18549	https://www.ncbi.nlm.nih.gov/gene/?term=18549
Tusc3	Tusc3	tumor suppressor candidate 3	80286	https://www.ncbi.nlm.nih.gov/gene/?term=80286
Arpc1a	Arpc1a	actin related protein 2/3 complex, subunit 1A	56443	https://www.ncbi.nlm.nih.gov/gene/?term=56443
Plekhb1	Plekhb1	pleckstrin homology domain containing, family B (evectins) member 1	27276	https://www.ncbi.nlm.nih.gov/gene/?term=27276
Kif1a	Kif1a	kinesin family member 1A	16560	https://www.ncbi.nlm.nih.gov/gene/?term=16560
Syngap1	Syngap1	synaptic Ras GTPase activating protein 1 homolog (rat)	240057	https://www.ncbi.nlm.nih.gov/gene/?term=240057
Dnm1	Dnm1	dynamin 1	13429	https://www.ncbi.nlm.nih.gov/gene/?term=13429
Shroom2	Shroom2	shroom family member 2	110380	https://www.ncbi.nlm.nih.gov/gene/?term=110380
Pja2	Pja2	praja ring finger ubiquitin ligase 2	224938	https://www.ncbi.nlm.nih.gov/gene/?term=224938
Kif3a	Kif3a	kinesin family member 3A	16568	https://www.ncbi.nlm.nih.gov/gene/?term=16568
Nmt2	Nmt2	N-myristoyltransferase 2	18108	https://www.ncbi.nlm.nih.gov/gene/?term=18108
Reep2	Reep2	receptor accessory protein 2	225362	https://www.ncbi.nlm.nih.gov/gene/?term=225362
Rundc3b	Rundc3b	RUN domain containing 3B	242819	https://www.ncbi.nlm.nih.gov/gene/?term=242819
Tubg2	Tubg2	tubulin, gamma 2	103768	https://www.ncbi.nlm.nih.gov/gene/?term=103768
Spock2	Spock2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2	94214	https://www.ncbi.nlm.nih.gov/gene/?term=94214
Clvs1	Clvs1	clavesin 1	74438	https://www.ncbi.nlm.nih.gov/gene/?term=74438
Actl6b	Actl6b	actin-like 6B	83766	https://www.ncbi.nlm.nih.gov/gene/?term=83766
Cntnap1	Cntnap1	contactin associated protein-like 1	53321	https://www.ncbi.nlm.nih.gov/gene/?term=53321
Atp9a	Atp9a	ATPase, class II, type 9A	11981	https://www.ncbi.nlm.nih.gov/gene/?term=11981
Ncdn	Ncdn	neurochondrin	26562	https://www.ncbi.nlm.nih.gov/gene/?term=26562
Slc24a2	Slc24a2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2	76376	https://www.ncbi.nlm.nih.gov/gene/?term=76376
Pnmal1	Pnmal1	PNMA-like 1	71691	https://www.ncbi.nlm.nih.gov/gene/?term=71691
Stmn4	Stmn4	stathmin-like 4	56471	https://www.ncbi.nlm.nih.gov/gene/?term=56471
Necab1	Necab1	N-terminal EF-hand calcium binding protein 1	69352	https://www.ncbi.nlm.nih.gov/gene/?term=69352
Tarsl2	Tarsl2	threonyl-tRNA synthetase-like 2	272396	https://www.ncbi.nlm.nih.gov/gene/?term=272396
Rida	Rida	reactive intermediate imine deaminase A homolog	15473	https://www.ncbi.nlm.nih.gov/gene/?term=15473
Fndc5	Fndc5	fibronectin type III domain containing 5	384061	https://www.ncbi.nlm.nih.gov/gene/?term=384061
Rgs20	Rgs20	regulator of G-protein signaling 20	58175	https://www.ncbi.nlm.nih.gov/gene/?term=58175
Pgbd5	Pgbd5	piggyBac transposable element derived 5	209966	https://www.ncbi.nlm.nih.gov/gene/?term=209966
Amph	Amph	amphiphysin	218038	https://www.ncbi.nlm.nih.gov/gene/?term=218038
Syt5	Syt5	synaptotagmin V	53420	https://www.ncbi.nlm.nih.gov/gene/?term=53420
AI593442	AI593442	expressed sequence AI593442	330941	https://www.ncbi.nlm.nih.gov/gene/?term=330941
Pcdhgb6	Pcdhgb6	protocadherin gamma subfamily B, 6	93703	https://www.ncbi.nlm.nih.gov/gene/?term=93703
Tac1	Tac1	tachykinin 1	21333	https://www.ncbi.nlm.nih.gov/gene/?term=21333
Gabrd	Gabrd	gamma-aminobutyric acid (GABA) A receptor, subunit delta	14403	https://www.ncbi.nlm.nih.gov/gene/?term=14403
Gna11	Gna11	guanine nucleotide binding protein, alpha 11	14672	https://www.ncbi.nlm.nih.gov/gene/?term=14672
Chst1	Chst1	carbohydrate sulfotransferase 1	76969	https://www.ncbi.nlm.nih.gov/gene/?term=76969
Prickle2	Prickle2	prickle planar cell polarity protein 2	243548	https://www.ncbi.nlm.nih.gov/gene/?term=243548
Nebl	Nebl	nebulette	74103	https://www.ncbi.nlm.nih.gov/gene/?term=74103
Dtx3	Dtx3	deltex 3, E3 ubiquitin ligase	80904	https://www.ncbi.nlm.nih.gov/gene/?term=80904
Arhgef10	Arhgef10	Rho guanine nucleotide exchange factor (GEF) 10	234094	https://www.ncbi.nlm.nih.gov/gene/?term=234094
Tspyl4	Tspyl4	TSPY-like 4	72480	https://www.ncbi.nlm.nih.gov/gene/?term=72480
Cntn2	Cntn2	contactin 2	21367	https://www.ncbi.nlm.nih.gov/gene/?term=21367
Sash1	Sash1	SAM and SH3 domain containing 1	70097	https://www.ncbi.nlm.nih.gov/gene/?term=70097
Aldh1l1	Aldh1l1	aldehyde dehydrogenase 1 family, member L1	107747	https://www.ncbi.nlm.nih.gov/gene/?term=107747
Hhip	Hhip	Hedgehog-interacting protein	15245	https://www.ncbi.nlm.nih.gov/gene/?term=15245
Mapt	Mapt	microtubule-associated protein tau	17762	https://www.ncbi.nlm.nih.gov/gene/?term=17762
Entpd6	Entpd6	ectonucleoside triphosphate diphosphohydrolase 6	12497	https://www.ncbi.nlm.nih.gov/gene/?term=12497
Prkce	Prkce	protein kinase C, epsilon	18754	https://www.ncbi.nlm.nih.gov/gene/?term=18754
Ndrg1	Ndrg1	N-myc downstream regulated gene 1	17988	https://www.ncbi.nlm.nih.gov/gene/?term=17988
Kif2a	Kif2a	kinesin family member 2A	16563	https://www.ncbi.nlm.nih.gov/gene/?term=16563
Atcay	Atcay	ataxia, cerebellar, Cayman type	16467	https://www.ncbi.nlm.nih.gov/gene/?term=16467
Pbx1	Pbx1	pre B cell leukemia homeobox 1	18514	https://www.ncbi.nlm.nih.gov/gene/?term=18514
Fbxo2	Fbxo2	F-box protein 2	230904	https://www.ncbi.nlm.nih.gov/gene/?term=230904
Sox10	Sox10	SRY (sex determining region Y)-box 10	20665	https://www.ncbi.nlm.nih.gov/gene/?term=20665
Kctd17	Kctd17	potassium channel tetramerisation domain containing 17	72844	https://www.ncbi.nlm.nih.gov/gene/?term=72844
Tex2	Tex2	testis expressed gene 2	21763	https://www.ncbi.nlm.nih.gov/gene/?term=21763
Pdk2	Pdk2	pyruvate dehydrogenase kinase, isoenzyme 2	18604	https://www.ncbi.nlm.nih.gov/gene/?term=18604
Dact2	Dact2	dishevelled-binding antagonist of beta-catenin 2	240025	https://www.ncbi.nlm.nih.gov/gene/?term=240025
